Region Abbreviation,Region Name,Tax Year,BracketNo,Starting Income,Ending Income,Tax Rate,Base Tax Amount,Rounded Base Tax Amount
CAN,Canada,2023,1,0,53359,0.1500,0.00,0
CAN,Canada,2023,2,53359,106717,0.2050,8003.85,8004
CAN,Canada,2023,3,106717,165430,0.2600,18942.24,18942
CAN,Canada,2023,4,165430,235675,0.2900,34207.62,34208
CAN,Canada,2023,5,235675,,0.3300,54578.67,54579
BC,British Columbia,2023,1,0,45654,0.0506,0.00,0
BC,British Columbia,2023,2,45654,91310,0.0770,2310.09,2310
BC,British Columbia,2023,3,91310,104835,0.1050,5825.60,5826
BC,British Columbia,2023,4,104835,127299,0.1229,7245.73,7246
BC,British Columbia,2023,5,127299,172602,0.1470,7245.73,7246
BC,British Columbia,2023,6,172602,240716,0.1680,10006.56,10007
BC,British Columbia,2023,7,240716,,0.2050,21449.71,21450
AB,Alberta,2023,1,0,142292,0.1000,0.00,0
AB,Alberta,2023,2,142292,170751,0.1200,14229.20,14229
AB,Alberta,2023,3,170751,227668,0.1300,17644.28,17644
AB,Alberta,2023,4,227668,341502,0.1400,25043.49,25043
AB,Alberta,2023,5,341502,,0.1500,40980.25,40980
SK,Saskatchewan,2023,1,0,49720,0.1050,0.00,0
SK,Saskatchewan,2023,2,49720,142058,0.1250,5220.60,5221
SK,Saskatchewan,2023,3,142058,,0.1450,16762.85,16763
MB,Manitoba,2023,1,0,36842,0.1080,0.00,0
MB,Manitoba,2023,2,36842,79625,0.1275,3978.94,3979
MB,Manitoba,2023,3,79625,,0.1740,9433.77,9434
ON,Ontario,2023,1,0,49231,0.0505,0.00,0
ON,Ontario,2023,2,49231,98643,0.0915,2486.17,2486
ON,Ontario,2023,3,98643,150000,0.1116,7007.37,7007
ON,Ontario,2023,4,150000,220000,0.1216,12738.81,12739
ON,Ontario,2023,5,220000,,0.1316,21250.81,21251
QC,Québec,2023,1,0,46295,0.1500,0.00,0
QC,Québec,2023,2,46295,92580,0.2000,6944.25,6944
QC,Québec,2023,3,92580,112655,0.2400,16201.25,16201
QC,Québec,2023,4,112655,,0.2575,21019.25,21019
NB,New Brunswick,2023,1,0,47715,0.0940,0.00,0
NB,New Brunswick,2023,2,47715,95431,0.1400,4485.21,4485
NB,New Brunswick,2023,3,95431,176756,0.1600,11165.45,11165
NB,New Brunswick,2023,5,176756,,0.1950,24177.45,24177
NS,Nova Scotia,2023,1,0,29590,0.0879,0.00,0
NS,Nova Scotia,2023,2,29590,59180,0.1495,2600.96,2601
NS,Nova Scotia,2023,3,59180,93000,0.1667,7024.67,7025
NS,Nova Scotia,2023,4,93000,150000,0.1750,12662.46,12662
NS,Nova Scotia,2023,5,150000,,0.2100,22637.46,22637
PE,Prince Edward Island,2023,1,0,31984,0.0980,0.00,0
PE,Prince Edward Island,2023,2,31984,63969,0.1380,3134.43,3134
PE,Prince Edward Island,2023,3,63969,,0.1670,7548.36,7548
NL,Newfoundland & Labador,2023,1,0,41457,0.0870,0.00,0
NL,Newfoundland & Labador,2023,2,41457,82913,0.1450,3606.76,3607
NL,Newfoundland & Labador,2023,3,82913,148027,0.1580,9617.88,9618
NL,Newfoundland & Labador,2023,4,148027,207239,0.1780,19905.89,19906
NL,Newfoundland & Labador,2023,5,207239,264750,0.1980,30445.63,30446
NL,Newfoundland & Labador,2023,6,264750,529500,0.2080,41832.81,41833
NL,Newfoundland & Labador,2023,7,529500,1059000,0.2130,96900.81,96901
NL,Newfoundland & Labador,2023,8,1059000,,0.2180,209684.31,209684
YT,Yukon,2023,1,0,53359,0.0640,0.00,0
YT,Yukon,2023,2,53359,106717,0.0900,3414.98,3415
YT,Yukon,2023,3,106717,165430,0.1090,8217.20,8217
YT,Yukon,2023,4,165430,500000,0.1280,14616.92,14617
YT,Yukon,2023,5,500000,,0.1500,57441.88,57442
NT,Northwest Territories,2023,1,0,48326,0.0590,0.00,0
NT,Northwest Territories,2023,2,48326,96655,0.0860,2851.23,2851
NT,Northwest Territories,2023,3,96655,157139,0.1220,7007.52,7008
NT,Northwest Territories,2023,4,157139,,0.1405,14386.57,14387
NU,Nunavut,2023,1,0,44437,0.0400,0.00,0
NU,Nunavut,2023,2,44437,88874,0.0700,1777.48,1777
NU,Nunavut,2023,3,88874,144488,0.0900,4888.07,4888
NU,Nunavut,2023,4,144488,,0.1150,9893.33,9893
CAN,Canada,2022,1,0,50197,0.1500,0.00,0
CAN,Canada,2022,2,50197,100392,0.2050,7529.55,7530
CAN,Canada,2022,3,100392,155625,0.2600,17819.53,17820
CAN,Canada,2022,4,155625,221708,0.2900,32180.11,32180
CAN,Canada,2022,5,221708,,0.3300,51344.18,51344
BC,British Columbia,2022,1,0,43070,0.0506,0.00,0
BC,British Columbia,2022,2,43070,86141,0.0770,2179.34,2179
BC,British Columbia,2022,3,86141,98901,0.1050,5495.81,5496
BC,British Columbia,2022,4,98901,120094,0.1229,6835.61,6836
BC,British Columbia,2022,5,120094,162832,0.1470,6835.61,6836
BC,British Columbia,2022,6,162832,227092,0.1680,9440.23,9440
BC,British Columbia,2022,7,227092,,0.2050,20235.91,20236
AB,Alberta,2022,1,0,134238,0.1000,0.00,0
AB,Alberta,2022,2,134238,161086,0.1200,13423.80,13424
AB,Alberta,2022,3,161086,214781,0.1300,16645.56,16646
AB,Alberta,2022,4,214781,322171,0.1400,23625.91,23626
AB,Alberta,2022,5,322171,,0.1500,38660.51,38661
SK,Saskatchewan,2022,1,0,46773,0.1050,0.00,0
SK,Saskatchewan,2022,2,46773,133638,0.1250,4911.17,4911
SK,Saskatchewan,2022,3,133638,,0.1450,15769.30,15769
MB,Manitoba,2022,1,0,34431,0.1080,0.00,0
MB,Manitoba,2022,2,34431,74416,0.1275,3718.55,3719
MB,Manitoba,2022,3,74416,,0.1740,8816.64,8817
ON,Ontario,2022,1,0,46226,0.0505,0.00,0
ON,Ontario,2022,2,46226,92454,0.0915,2334.41,2334
ON,Ontario,2022,3,92454,150000,0.1116,6564.27,6564
ON,Ontario,2022,4,150000,220000,0.1216,12986.40,12986
ON,Ontario,2022,5,220000,,0.1316,21498.40,21498
QC,Québec,2022,1,0,46295,0.1500,0.00,0
QC,Québec,2022,2,46295,92580,0.2000,6944.25,6944
QC,Québec,2022,3,92580,112655,0.2400,16201.25,16201
QC,Québec,2022,4,112655,,0.2575,21019.25,21019
NB,New Brunswick,2022,1,0,44887,0.0940,0.00,0
